,,Iris-setosa,Iris-versicolor,Iris-virginica
sepal length (cm),count,50.0,50.0,50.0
sepal length (cm),mean,5.005999999999999,5.936,6.587999999999998
sepal length (cm),std,0.3524896872134512,0.5161711470638635,0.635879593274432
sepal length (cm),min,4.3,4.9,4.9
sepal length (cm),25%,4.8,5.6,6.225
sepal length (cm),50%,5.0,5.9,6.5
sepal length (cm),75%,5.2,6.3,6.9
sepal length (cm),max,5.8,7.0,7.9
sepal width (cm),count,50.0,50.0,50.0
sepal width (cm),mean,3.4180000000000006,2.7700000000000005,2.9739999999999998
sepal width (cm),std,0.38102439795469095,0.3137983233784114,0.3224966381726376
sepal width (cm),min,2.3,2.0,2.2
sepal width (cm),25%,3.125,2.525,2.8
sepal width (cm),50%,3.4,2.8,3.0
sepal width (cm),75%,3.6750000000000003,3.0,3.1750000000000003
sepal width (cm),max,4.4,3.4,3.8
petal length (cm),count,50.0,50.0,50.0
petal length (cm),mean,1.464,4.26,5.552
petal length (cm),std,0.1735111594364455,0.46991097723995806,0.5518946956639835
petal length (cm),min,1.0,3.0,4.5
petal length (cm),25%,1.4,4.0,5.1
petal length (cm),50%,1.5,4.35,5.55
petal length (cm),75%,1.5750000000000002,4.6,5.875
petal length (cm),max,1.9,5.1,6.9
petal width (cm),count,50.0,50.0,50.0
petal width (cm),mean,0.2439999999999999,1.3259999999999998,2.026
petal width (cm),std,0.10720950308167837,0.197752680004544,0.27465005563666733
petal width (cm),min,0.1,1.0,1.4
petal width (cm),25%,0.2,1.2,1.8
petal width (cm),50%,0.2,1.3,2.0
petal width (cm),75%,0.3,1.5,2.3
petal width (cm),max,0.6,1.8,2.5
target,count,50.0,50.0,50.0
target,mean,0.0,1.0,2.0
target,std,0.0,0.0,0.0
target,min,0.0,1.0,2.0
target,25%,0.0,1.0,2.0
target,50%,0.0,1.0,2.0
target,75%,0.0,1.0,2.0
target,max,0.0,1.0,2.0
